gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
ENSG00000307490	0.450674517	2.005545982	0	0	0	0
ENSG00000307495	0	0	0.499007941	2.402915261	1.458376958	0
ENSG00000307520	0.450674517	0	0.998015882	9.611661044	1.458376958	0
ENSG00000307528	0	10.02772991	0.499007941	12.0145763	2.916753916	2.201877959
ENSG00000307532	0	24.06655178	1.996031763	26.43206787	4.375130875	5.504694897
ENSG00000307533	0	14.03882187	0.499007941	2.402915261	2.187565437	4.403755917
ENSG00000307540	0.450674517	2.005545982	0	2.402915261	0	0
ENSG00000307561	0	2.005545982	0	4.805830522	0.729188479	0
ENSG00000307562	0.901349033	14.03882187	0.499007941	7.208745783	5.104319354	2.201877959
ENSG00000307564	0	24.06655178	0.998015882	0	1.458376958	3.302816938
ENSG00000307565	0	0	0.499007941	0	0	0
ENSG00000307580	1.35202355	66.1830174	2.994047645	48.05830522	10.20863871	8.807511835
ENSG00000307596	0	0	0	0	0	0
ENSG00000307608	0	14.03882187	0	16.82040683	0	2.201877959
ENSG00000307609	2.253372583	68.18856338	11.47718264	64.87871205	12.39620414	24.22065755
ENSG00000307615	0	0	0	0	0	0
ENSG00000307629	0	12.03327589	0.499007941	2.402915261	0	2.201877959
ENSG00000307638	1.35202355	16.04436785	2.495039704	12.0145763	3.645942395	8.807511835
ENSG00000307639	0	4.011091963	0.499007941	4.805830522	4.375130875	2.201877959
ENSG00000307651	3.605396132	46.12755758	6.986111171	93.71369518	18.95890046	33.02816938
ENSG00000307657	7.210792265	6.016637945	0	0	0.729188479	0
ENSG00000307659	2.253372583	52.14419552	4.990079408	50.46122048	13.8545811	19.81690163
ENSG00000307660	0	2.005545982	0.499007941	0	1.458376958	0
ENSG00000307661	0.450674517	60.16637945	3.992063526	24.02915261	14.58376958	18.71596265
ENSG00000307669	0.450674517	2.005545982	2.495039704	2.402915261	0.729188479	1.100938979
ENSG00000307673	1.802698066	2.005545982	0.499007941	0	1.458376958	0
ENSG00000307674	0	2.005545982	0.998015882	4.805830522	0.729188479	1.100938979
ENSG00000307682	1.35202355	44.1220116	4.990079408	16.82040683	4.375130875	5.504694897
ENSG00000307683	0.450674517	0	0.499007941	2.402915261	0.729188479	1.100938979
ENSG00000307688	0.450674517	54.14974151	6.48710323	55.267051	12.39620414	25.32159653
ENSG00000307693	1.35202355	52.14419552	8.982142934	43.2524747	8.750261749	12.11032877
ENSG00000307694	0	0	0	0	0	0
ENSG00000307712	0	0	0	0	0	0
ENSG00000307729	0	12.03327589	0.499007941	9.611661044	1.458376958	1.100938979
ENSG00000307734	0.450674517	0	0	0	0	0
ENSG00000307750	0	0	0.998015882	0	0	0
ENSG00000307756	0.450674517	14.03882187	4.990079408	38.44664418	2.916753916	12.11032877
ENSG00000307769	0	0	0.998015882	16.82040683	3.645942395	5.504694897
ENSG00000307771	2.253372583	52.14419552	3.493055585	16.82040683	8.750261749	12.11032877
ENSG00000307784	0	0	0	0	0	0
ENSG00000307798	0	0	0	0	0	0
ENSG00000307812	0.450674517	0	0	0	0	0
ENSG00000307818	0	4.011091963	0.499007941	0	0	2.201877959
ENSG00000307823	2.253372583	64.17747141	6.48710323	40.84955944	11.66701567	15.41314571
ENSG00000307839	0.450674517	0	0	2.402915261	0	0
ENSG00000307845	0.450674517	0	0	0	0	0
ENSG00000307846	0	0	0.998015882	2.402915261	0	0
ENSG00000307864	0.450674517	26.07209776	1.497023822	4.805830522	5.833507833	5.504694897
ENSG00000307865	0.901349033	8.022183927	0.499007941	2.402915261	5.833507833	2.201877959
ENSG00000307869	0	2.005545982	0.998015882	0	1.458376958	3.302816938
ENSG00000307874	1.35202355	46.12755758	1.996031763	43.2524747	13.8545811	19.81690163
ENSG00000307882	0.450674517	8.022183927	0.998015882	0	0.729188479	1.100938979
ENSG00000307884	0	0	0	0	0.729188479	1.100938979
ENSG00000307891	0	0	0	0	0	0
ENSG00000307895	0	2.005545982	1.497023822	14.41749157	0	1.100938979
ENSG00000307898	1.35202355	30.08318973	2.994047645	31.23789839	5.833507833	19.81690163
