"gene_name","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"GIMAP4",47.028904820764,0.0538226325974606,0.567275749112708,0.905182819885561,0.944690613951256
"GIMAP5",33.4895143648412,0.561232143994145,0.605135506584488,0.22565163934713,0.437390211259714
"GIMAP6",18.1655929813178,0.0101843934768604,0.711374927844756,0.982578034042192,0.990632098566678
"GIMAP7",38.4685697939601,0.466061238638388,0.581218680526152,0.307348617642956,0.517560671151967
"GIMAP8",14.5523781911166,-0.0931830279431224,0.712837876149825,0.841561387438489,0.906837160855757
"GIN1",11.3745738903228,-0.16419940153916,0.744687176599636,0.719592931708111,0.830474824073375
"GINM1",67.8326251425252,-0.92169291879003,0.529291016232914,0.0349596250483883,0.152918532631427
"GINS1",50.5535546360889,0.520042041505016,0.614630981342279,0.263654908437005,0.47731241340344
"GINS2",10.6657363269781,-0.304518312876584,0.767237293849425,0.497111867899129,0.673443314545508
"GINS3",12.4872249664546,-0.948015229969563,0.781298463425709,0.036929697295263,0.158131297816934
"GINS4",67.3377294179377,0.43689795748002,0.581844263192665,0.338780455331613,0.545717885863665
"GIPC1",43.2278411367458,-0.566448020686956,0.618678385400172,0.22429432351675,0.435805606231112
"GIPC2",43.7821105084778,1.61870846403773,0.655934943977234,0.000714997172961457,0.0281568168618093
"GIPC3",0.940329026426381,-0.103096620694111,0.927268578687029,0.635177016597957,NA
"GIPR",43.4881805655262,0.994781368118579,0.621622812162113,0.0335290687368396,0.149059726246945
"GIRGL",6.91097220071455,0.299496288085124,0.790049567372097,0.491472645106235,NA
"GIT1",82.863726493069,-0.255684831306274,0.47629469568636,0.532992572946447,0.69989544409525
"GIT2",111.758520890654,-0.374528609299732,0.462581939670182,0.351747622767628,0.556445197683789
"GJA1",68.6219634804627,-1.33363889506383,0.705802003443116,0.00537155919411987,0.0627260859521552
"GJA1P1",5.97076377834388,0.185776921876637,0.865185762494416,0.60332500727156,NA
"GJA3",1.80204506538907,-0.0220666511505621,0.915315277452926,0.93060228792606,NA
"GJA5",11.1419228350289,0.458760660706797,0.815699963650241,0.273564347673395,0.486917573746841
"GJA9",2.58640509087311,0.359025214169777,0.91575433123419,0.1779637513209,NA
"GJB1",24.4087448071104,0.851938281107313,0.702160675028005,0.0713190215462759,0.226906048997788
"GJB2",2.52344838056408,0.277631454087764,0.896104931474313,0.365119530863031,NA
"GJB6",0,0,0.955729788552937,NA,NA
"GJC1",73.5541267606063,0.411469002011061,0.629046591104871,0.378938579043204,0.579403504739026
"GJC2",0.204699403310999,-0.00256301175026787,0.928035924172997,0.99039781735551,NA
"GJD2",16.1463043178714,0.92526490243324,0.759291996296976,0.0451938509861,0.176519480757368
"GJD2-DT",3.9190126359309,-0.193913065471864,0.871670471709125,0.57715655409144,NA
"GJD3-AS1",1.35632560262613,0.100048610827253,0.903732584149546,0.724796776310926,NA
"GJE1",1.61281547699438,0.213356522323988,0.920237601436532,0.382981847469402,NA
"GK",53.2723383036896,-0.124810010201451,0.533181769553997,0.775967940080561,0.866693617618833
"GK4P",0.72510226664069,0.0177264151723409,0.927189859550394,0.934600051611433,NA
"GK5",87.8952025569403,0.714213827710332,0.491703360102782,0.0879364946935517,0.255651956781438
"GKAP1",22.9236751251733,0.163143595452934,0.638309400836746,0.727725101908912,0.835304308834516
"GLA",31.2900699040111,-0.371607742223913,0.598672107871802,0.420564694558396,0.614738542184222
"GLB1",38.6527752538636,-0.878004790803047,0.584737378236633,0.0553233339490662,0.195962030863184
"GLB1L",5.31517120914043,0.024002864149668,0.821290247838451,0.953149049845678,NA
"GLB1L2",0.831679901286149,-0.0103298973201505,0.92739310291396,0.961727976317601,NA
"GLB1L3",22.3523235729159,1.30470045771841,0.710510261948445,0.00639156364468961,0.0657240436063231
"GLCCI1",64.2372613976268,0.179931904881846,0.509000458512101,0.673751731864872,0.796824432406003
