gene_name	S1_control	S1_t	S2_control	S2_t	S3_control	S3_t
GEMIN6	57	64	98	40	94	55
GEMIN7	87	22	34	2	38	14
GEMIN7-AS1	6	1	0	0	6	4
GEMIN8	40	6	32	4	16	5
GEMIN8P4	0	0	2	0	0	1
GEN1	664	47	275	165	350	176
GET1	51	19	83	4	23	15
GET1-SH3BGR	4	0	4	0	7	1
GET3	173	16	135	10	84	37
GET4	176	9	94	18	82	56
GFER	82	12	75	2	24	10
GFI1	12	14	35	15	21	18
GFI1B	0	0	0	0	0	0
GFM1	95	17	141	25	128	55
GFM2	85	6	120	8	58	47
GFOD1	32	111	96	48	88	60
GFOD2	62	25	62	7	68	44
GFOD3P	199	33	196	18	73	51
GFPT1	222	47	378	30	127	74
GFPT2	1	0	428	4	5	5
GFRA1	7	42	17	22	49	30
GFRA2	0	0	3	0	0	0
GFRAL	7	37	17	9	5	14
GFUS	56	9	63	6	50	12
GGA1	718	47	162	20	137	79
GGA2	2346	213	882	175	990	591
GGA3	309	14	150	21	293	117
GGACT	27	5	8	0	5	1
GGCT	66	7	163	8	56	24
GGCX	106	18	126	14	58	46
GGH	45	6	388	3	26	10
GGN	0	1	0	0	1	0
GGNBP2	505	67	292	29	225	154
GGPS1	155	20	89	18	51	37
GGT1	23	3	2	6	0	1
GGT5	0	0	0	0	0	0
GGT7	63	2	83	5	35	17
GGTA1	0	0	1	0	0	0
GGTA2P	0	0	2	0	0	0
GGTLC3	0	0	0	0	0	0
GH1	0	0	0	0	0	0
GHDC	143	29	42	14	33	14
GHET1	2	0	0	0	2	2
GHITM	692	65	1031	61	358	210
GHR	0	0	6	0	0	0
GHRL	8	1	0	1	0	0
GHRLOS	15	2	8	1	8	5
GID4	49	14	65	4	15	10
GID8	322	44	297	38	151	104
GIGYF1	635	65	317	67	359	186
GIGYF2	356	81	492	69	266	143
GIHCG	20	9	57	4	9	9
GIMAP1	12	2	23	9	13	12
GIMAP1-GIMAP5	0	0	10	0	15	0
GIMAP2	79	9	45	19	43	40
GIMAP4	28	3	120	47	61	42
GIMAP5	21	4	58	39	26	38
GIMAP6	9	0	47	17	21	23
GIMAP7	24	5	74	42	37	41
GIMAP8	74	5	25	7	8	8
GIN1	43	2	21	7	12	8
GINM1	170	14	308	13	90	47
GINS1	14	40	162	24	53	36
GINS2	4	1	37	2	31	13
GINS3	23	1	92	1	15	3
GINS4	48	83	134	13	71	60
GIPC1	60	16	268	5	40	23
GIPC2	5	26	23	58	35	29
GIPC3	0	0	4	0	5	0
GIPR	11	39	42	24	68	45
GIRGL	10	7	12	4	4	4
GIT1	178	31	162	21	154	101
GIT2	329	30	195	45	198	102
GJA1	4	3	659	3	84	6
GJA1P1	1	4	0	0	36	1
GJA3	0	0	18	0	1	1
GJA5	1	4	2	4	64	1
GJA9	0	0	0	6	0	1
GJB1	7	42	16	10	22	10
GJB2	0	0	3	4	1	3
GJB6	0	0	0	0	0	0
GJC1	7	45	292	44	84	32
GJC2	0	0	1	0	1	0
GJD2	1	14	19	21	7	3
GJD2-DT	1	1	2	0	26	1
GJD3-AS1	2	1	2	1	1	1
GJE1	0	3	0	0	2	2
GK	56	8	189	46	54	31
GK4P	1	0	3	1	0	0
GK5	100	88	117	41	94	73
GKAP1	73	19	38	7	15	18
